"label","eventID","pred","conf","prom","score","bottlenose","humpback","correct"
"humpback","PAM_2025-02-05_15-17-31.wav","humpback",0.954,0.908,0.866232,0.046,0.954,1
"humpback","PAM_2025-02-05_15-21-35.wav","humpback",0.976,0.952,0.929152,0.024,0.976,1
"humpback","PAM_2025-02-05_15-26-16.wav","humpback",0.96,0.92,0.8832,0.04,0.96,1
"humpback","PAM_2025-02-05_15-33-23.wav","humpback",0.972,0.944,0.917568,0.028,0.972,1
"humpback","PAM_2025-02-05_15-39-18.wav","humpback",0.576,0.152,0.087552,0.424,0.576,1
"humpback","PAM_2025-02-05_15-45-59.wav","humpback",1,1,1,0,1,1
"humpback","PAM_2025-02-05_15-50-35.wav","humpback",0.954,0.908,0.866232,0.046,0.954,1
"humpback","PAM_2025-02-05_15-55-45.wav","humpback",0.868,0.736,0.638848,0.132,0.868,1
"humpback","PAM_2025-02-05_15-58-05.wav","bottlenose",0.772,0.544,0.419968,0.772,0.228,0
"humpback","PAM_2025-02-05_15-58-19.wav","humpback",0.734,0.468,0.343512,0.266,0.734,1
"humpback","PAM_2025-02-05_16-04-34.wav","humpback",0.874,0.748,0.653752,0.126,0.874,1
"humpback","PAM_2025-02-05_16-11-15.wav","humpback",0.918,0.836,0.767448,0.082,0.918,1
"humpback","PAM_2025-02-05_16-17-21.wav","humpback",0.726,0.452,0.328152,0.274,0.726,1
"bottlenose","RM_PAM_20220708_122210_150.wav","bottlenose",0.63,0.26,0.1638,0.63,0.37,1
"bottlenose","RM_PAM_20220708_123219_950.wav","humpback",0.718,0.436,0.313048,0.282,0.718,0
"bottlenose","RM_PAM_20220708_092414_997.wav","bottlenose",0.818,0.636,0.520248,0.818,0.182,1
"bottlenose","RM_PAM_20220708_092920_007.wav","bottlenose",0.774,0.548,0.424152,0.774,0.226,1
"bottlenose","RM_PAM_20220709_174224_811.wav","bottlenose",0.972,0.944,0.917568,0.972,0.028,1
"bottlenose","RM_PAM_20220709_174729_657.wav","bottlenose",0.742,0.484,0.359128,0.742,0.258,1
"bottlenose","RM_PAM_20220709_175235_450.wav","bottlenose",0.864,0.728,0.628992,0.864,0.136,1
"bottlenose","RM_PAM_20220709_175929_358.wav","bottlenose",0.906,0.812,0.735672,0.906,0.094,1
